x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;
-350;-300;-367.9329;-284.364;2.203715;;-350;0;-364.589;3.890948;1.388326;;-350;300;-351.5561;277.8301;2.050423;;0;300;4.10732;307.7451;0.8322775;;350;300;365.056;342.3552;4.160902;;350;0;360.8256;31.82518;3.151445;;350;-300;353.0752;-302.7081;0.343781;;0;-300;-6.774593;-290.1589;1.07611;;0;0;-3.192455;20.43928;1.955047;;
-350;-300;-370.3015;-313.2069;2.069614;;-350;0;-365.4467;14.76834;1.996158;;-350;300;-350.3035;316.2002;1.495017;;0;300;-11.68716;319.6653;2.158217;;350;300;316.9944;317.5822;3.461532;;350;0;344.7773;-8.029149;0.9041728;;350;-300;332.2038;-325.1994;2.810906;;0;-300;-18.01526;-343.7815;4.172088;;0;0;-15.76761;-12.07995;1.901149;;
-350;-300;-397.9571;-279.2921;4.785856;;-350;0;-356.9534;38.55431;3.698353;;-350;300;-337.3051;339.7473;3.866651;;0;300;6.770205;340.0623;3.840838;;350;300;373.325;323.3787;2.963855;;350;0;365.7359;25.48164;2.824453;;350;-300;359.8388;-290.7113;1.253201;;0;-300;-6.56941;-283.1454;1.643658;;0;0;0.415345;49.9923;4.837805;;
-350;-300;-272.0235;-384.1386;10.6454;;-350;0;-361.1063;57.06999;5.357525;;-350;300;-376.6577;373.4362;6.509123;;0;300;44.27586;261.6841;5.541745;;350;300;222.1948;265.172;12.36724;;350;0;230.4839;88.41427;14.04023;;350;-300;337.1217;-170.4297;12.13114;;0;-300;-12.67546;-216.7592;8.024998;;0;0;-11.01199;1.501163;1.071371;;
-350;-300;-273.586;-382.9369;10.51245;;-350;0;-323.0583;-8.426838;2.539524;;-350;300;-335.4277;144.7534;14.50567;;0;300;-124.2949;-40.49699;34.91699;;350;300;-426.5056;879.1201;53.08377;;350;0;391.1802;-28.33664;4.706235;;350;-300;377.3711;-192.9373;10.1467;;0;-300;14.8168;-197.7914;9.786773;;0;0;54.59156;-13.5956;5.444385;;
-350;-300;-162.5014;-1535.278;64.11125;;-350;0;-401.8248;-367.4252;33.08538;;-350;300;-361.6411;47.31341;24.0563;;0;300;26.64206;6.616219;28.91916;;350;300;-456.9287;1588.188;58.01335;;-350;-300;-337.1209;-316.5824;1.943198;;-350;0;-356.2687;7.673221;0.9240804;;-350;300;-361.7913;313.8377;1.603643;;0;300;12.54394;314.6074;1.805152;;350;300;365.5916;294.5674;1.505842;;350;0;357.6938;-19.72729;1.983272;;350;-300;365.1708;-400.6878;8.759077;;0;-300;-16.59083;-397.8491;8.784875;;0;0;-15.63638;-77.95721;7.597527;;
-350;-300;-338.2809;-374.0815;6.857524;;-350;0;-302.476;57.86781;7.083161;;-350;300;-318.7162;630.7106;25.05563;;0;300;305.347;1651.345;55.25847;;350;300;504.0329;1144.647;43.85924;;350;0;496.3232;1016.782;55.68686;;350;-300;436.98;448.0455;54.16695;;0;-300;226.1183;322.9646;52.37223;;0;0;228.8967;496.3235;41.97728;;
-350;-300;-368.0513;-296.0135;1.636379;;-350;0;-349.0494;33.5734;3.158891;;-350;300;-332.0363;314.3708;2.128816;;0;300;22.16911;355.4918;5.447732;;350;300;195.7672;373.9764;15.49464;;350;0;391.1543;37.77726;5.147193;;350;-300;368.641;-277.1798;2.731798;;0;-300;-25.5474;-226.471;7.406051;;0;0;-3.500395;104.7552;9.869083;;
-350;-300;-365.6246;-300.9163;1.382676;;-350;0;-364.5183;16.78416;2.084502;;-350;300;-352.1086;314.2804;1.333248;;0;300;5.475285;320.6394;2.026999;;350;300;367.7108;321.3413;2.52902;;350;0;363.7242;4.929155;1.359699;;350;-300;354.3589;-307.872;0.7564052;;0;-300;-2.158357;-301.7722;0.2533378;;0;0;-0.1941697;31.65552;3.032607;;
-350;-300;-371.4123;-246.2746;5.346431;;-350;0;-363.8871;91.44595;8.40929;;-350;300;-349.5461;396.4506;8.178677;;0;300;21.71597;424.5856;10.88068;;350;300;375.8928;394.3032;8.183837;;350;0;364.3937;91.75508;8.512116;;350;-300;348.6392;-240.9512;5.484658;;0;-300;-1.871527;-211.8801;8.403193;;0;0;20.61271;108.377;10.44011;;
